	X.X	Y.Y
('C-78461_BALBc-1_X01_Y01_722_950', 'Cell Type: B cells')	722	1050
('C-78468_BALBc-1_X01_Y01_723_131', 'Cell Type: B cells')	723	1869
('C-78787_BALBc-1_X01_Y01_727_496', 'Cell Type: B cells')	727	1504
('C-78978_BALBc-1_X01_Y01_729_920', 'Cell Type: B cells')	729	1080
('C-79106_BALBc-1_X01_Y01_730_753', 'Cell Type: B cells')	730	1247
('C-79197_BALBc-1_X01_Y01_731_852', 'Cell Type: B cells')	731	1148
('C-79228_BALBc-1_X01_Y01_732_264', 'Cell Type: B cells')	732	1736
('C-79377_BALBc-1_X01_Y01_733_981', 'Cell Type: B cells')	733	1019
('C-79939_BALBc-1_X01_Y01_740_1001', 'Cell Type: B cells')	740	999
('C-80506_BALBc-1_X01_Y01_747_927', 'Cell Type: B cells')	747	1073
('C-80525_BALBc-1_X01_Y01_748_234', 'Cell Type: B cells')	748	1766
('C-80830_BALBc-1_X01_Y01_750_807', 'Cell Type: B cells')	750	1193
('C-80965_BALBc-1_X01_Y01_752_728', 'Cell Type: B cells')	752	1272
('C-81569_BALBc-1_X01_Y01_76_36', 'Cell Type: B cells')	76	1964
('C-82103_BALBc-1_X01_Y01_766_541', 'Cell Type: B cells')	766	1459
('C-82283_BALBc-1_X01_Y01_768_747', 'Cell Type: B cells')	768	1253
('C-82292_BALBc-1_X01_Y01_768_860', 'Cell Type: B cells')	768	1140
('C-82501_BALBc-1_X01_Y01_770_672', 'Cell Type: B cells')	770	1328
('C-82814_BALBc-1_X01_Y01_774_701', 'Cell Type: B cells')	774	1299
('C-83141_BALBc-1_X01_Y01_778_865', 'Cell Type: B cells')	778	1135
('C-83368_BALBc-1_X01_Y01_780_829', 'Cell Type: B cells')	780	1171
('C-83575_BALBc-1_X01_Y01_783_772', 'Cell Type: B cells')	783	1228
('C-83783_BALBc-1_X01_Y01_786_42', 'Cell Type: B cells')	786	1958
('C-84106_BALBc-1_X01_Y01_79_467', 'Cell Type: B cells')	79	1533
('C-84546_BALBc-1_X01_Y01_794_913', 'Cell Type: B cells')	794	1087
('C-84882_BALBc-1_X01_Y01_798_898', 'Cell Type: B cells')	798	1102
('C-84899_BALBc-1_X01_Y01_799_204', 'Cell Type: B cells')	799	1796
('C-85632_BALBc-1_X01_Y01_806_632', 'Cell Type: B cells')	806	1368
('C-85720_BALBc-1_X01_Y01_807_805', 'Cell Type: B cells')	807	1195
('C-85870_BALBc-1_X01_Y01_809_965', 'Cell Type: B cells')	809	1035
